EMPRESA|CODIGOID|PRODUCTO|FECHA_ALTA|VALOR|CUENTA_ACTIVO|CUENTA_PASIVO|ANOS|PORCENTAJE|FECHA_ANTICIPADA|PRIMER_EJERCICIO|ULTIMO_EJERCICIO|AMORTIZA_PRIMERO|AMORTIZA_ANUAL|AMORTIZA_ULTIMO|FLAG_VEHICULO|FLAG_NAVE|FLAG_MAQUINARIA|FLAG_INFORMATICA|FLAG_MOBILIARIO
CHEMIE|31|KAWASAKI Z900 MAT:7606JWV|2017-02-15|7598.81|6810000000|2818000017|5.00|20.00||2017|2022|1332.39|1519.76|187.38|0|0|0|0|0
CHEMIE|32|BMW X3  MAT. 6718-KHF|2018-01-30|23034.26|6810000000|2818000018|5.00|20.00|2022-04-28|2018|2022|4240.82|4606.85|1476.71|1|0|0|0|0
CHEMIE|34|AIRE ACONDICIONADO|2018-02-28|3345.75|6810000000|2815000000|10.00|10.00||2018|2028|281.40|334.57|53.22|0|0|0|0|0
CHEMIE|33|SEAT IBIZA - 3112JWZ|2018-03-31|5616.32|6810000000|2818000019|5.00|20.00|2020-06-08|2018|2020|849.37|1123.26|489.31|0|0|0|0|0
CHEMIE|36|TUBERIA CONTRA INCENDIOS|2018-10-01|1766.00|6810000000|2815000000|10.00|10.00||2018|2028|44.51|176.60|132.09|0|0|0|0|0
CHEMIE|35|SUELO PARQUET|2018-10-15|2841.43|6810000000|2815000000|10.00|10.00||2018|2028|60.72|284.14|223.45|0|0|0|0|0
CHEMIE|37|FURGONETA MERCEDES SPRIN.311 CDI-9386FBJ|2019-03-01|1239.67|6810000000|2818000020|4.00|25.00|2021-05-17|2019|2021|259.82|309.91|115.47|1|0|0|0|0
CHEMIE|38|MOBILIARIO OFICINA - CORT. VENICIANAS|2019-05-16|1606.00|6810000000|2816000001|5.00|20.00||2019|2024|202.40|321.20|118.80|0|0|0|0|1
CHEMIE|39|ALARMA|2019-12-26|987.33|6810000000|2815000000|5.00|20.00||2019|2024|3.24|197.46|194.25|0|0|0|0|0
CHEMIE|40|MOTO YAMAHA X-MAX 300 (2105-LHM)|2020-07-10|2562.57|6810000000|2818000021|5.00|20.00||2020|2025|245.72|512.51|266.81|0|0|0|0|0
CHEMIE|41|REFORMA INSTALACION ELECTRICA|2020-09-08|1687.52|6810000000|2815000000|5.00|20.00||2020|2025|106.33|337.50|231.19|0|0|0|0|0
CHEMIE|42|FURGONETA VW CRAFTER 3422 LPC|2021-04-30|21295.83|6810000000|2818000022|5.00|20.00||2021|2026|2870.56|4259.16|1388.63|1|0|0|0|0
CHEMIE|43|ORDENADOR BAREBONE Y DISCO DURO SATA3|2021-09-30|530.45|6810000000|2817000001|4.00|25.00||2021|2025|33.78|132.61|98.84|0|0|0|1|0
CHEMIE|44|MOTO DUCATI MONSTER (3371KFW)|2021-10-20|6870.00|6810000000|2818000023|5.00|20.00|2025-05-12|2021|2025|274.80|1374.00|493.13|0|0|0|0|0
