EMPRESA|EJERCICIO|FECHA|CUENTA|TITULO_CUENTA|CONCEPTO|IMPORTE|DEBE_HABER|DEBE|HABER|TIPO_CUENTA|SALDO_BANCO_MOV|SALDO_DEUDA_MOV|INTERES_MOV|FLAG_BANCO|FLAG_DEUDA_LP|FLAG_DEUDA_CP|FLAG_INTERES|FLAG_APERTURA|FLAG_CIERRE
CHEMIE|2024|2024-01-02|5720000004|UNICAJA - 247|Pago Fra. 1-10593, DILOP SUMINISTROS, S.|24.32|H|0.0|24.32|BANCO_572|-24.32|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-03|5720000004|UNICAJA - 247|LIQ PAGARE|1567.91|H|0.0|1567.91|BANCO_572|-1567.91|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-03|5720000004|UNICAJA - 247|Cobro Remesa Nº 227|11471.17|D|11471.17|0.0|BANCO_572|11471.17|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-03|5720000004|UNICAJA - 247|CUOTA 01/24 PREST.1850196|462.13|H|0.0|462.13|BANCO_572|-462.13|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-03|5720000004|UNICAJA - 247|Cobro Fra. 1-230350, TOLEDANO HORTICOLA,|1275.22|D|1275.22|0.0|BANCO_572|1275.22|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-03|5720000004|UNICAJA - 247|Cobro Fra. 1-230376, HORTOFRUTICOLA COST|117.61|D|117.61|0.0|BANCO_572|117.61|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-04|5720000004|UNICAJA - 247|Pago Pagaré,SERNA SANTOS, S.L.|667.92|H|0.0|667.92|BANCO_572|-667.92|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-04|5720000004|UNICAJA - 247|Pago Fra. 1-6, ALCAUQUÍMICA, S.L.|654.6|H|0.0|654.6|BANCO_572|-654.6|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-05|5720000004|UNICAJA - 247|CUOTA 01/24 PREST.82011|305.6|H|0.0|305.6|BANCO_572|-305.6|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-05|5720000004|UNICAJA - 247|CUOTA 01/24 CONTRATO VW RENTING|35.8|H|0.0|35.8|BANCO_572|-35.8|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-05|5720000004|UNICAJA - 247|Cobro Fra. 1-230381, ALMAGRO NATURE, S.L|2907.26|D|2907.26|0.0|BANCO_572|2907.26|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-05|5720000004|UNICAJA - 247|Pago Fra. 1-232497, CORDITRANS ALMERIA,|82.64|H|0.0|82.64|BANCO_572|-82.64|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-08|5720000004|UNICAJA - 247|CUOTA 01/24 PREST.29404|668.66|H|0.0|668.66|BANCO_572|-668.66|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-08|5720000004|UNICAJA - 247|Pago Fra. 1-234199497, B2MOBILITY GMBH|416.76|H|0.0|416.76|BANCO_572|-416.76|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-08|5720000004|UNICAJA - 247|Cobro Fra. 1-230377, MALENO Y TORRES EXP|704.95|D|704.95|0.0|BANCO_572|704.95|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-09|5720000004|UNICAJA - 247|Pago Fra. 1-249796, REPSOL COMERCIALIZAD|147.87|H|0.0|147.87|BANCO_572|-147.87|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-10|5720000004|UNICAJA - 247|Pago Fra. 1-20903, TECNICA QUIMICA DEL A|303.29|H|0.0|303.29|BANCO_572|-303.29|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-11|5720000004|UNICAJA - 247|Cobro Fra. 1-230045, HACIENDASBIO S.A.T.|1130.14|D|1130.14|0.0|BANCO_572|1130.14|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-11|5720000004|UNICAJA - 247|Pago Fra. 1-44, ATEN OIL SETOR OPERACION|789.18|H|0.0|789.18|BANCO_572|-789.18|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-11|5720000004|UNICAJA - 247|Pago Pagaré,INDUSTRIA PAPELERA DE MURO,|3401.74|H|0.0|3401.74|BANCO_572|-3401.74|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-15|5720000004|UNICAJA - 247|Cobro Remesa Nº 228|13782.63|D|13782.63|0.0|BANCO_572|13782.63|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-15|5720000004|UNICAJA - 247|Pago Pagaré,SENIGRUP, S.L.|909.57|H|0.0|909.57|BANCO_572|-909.57|0.0|0.0|1|0|0|0|0|0
