BLOQUE|EMPRESA|CODIGO_ALMACEN|ALMACEN|REFERENCIA1|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|STOCK_ACTUAL|PRECIO_MEDIO_COMPRA|VALOR_STOCK_COSTE_MEDIO|FLAG_REFERENCIA_GENERICA|FLAG_SIN_FAMILIA|FLAG_STOCK_NEGATIVO
TOP_VALOR_STOCK_NEGATIVO|CHEMIE|1|ALMACEN PRINCIPAL|33013800|TUNELIMP-LIMPIADOR CONCENT.TUNEL LAVADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|-5825.000|1.320000000000000|-7689.000000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|CHEMIE|1|ALMACEN PRINCIPAL|91094400|PALO ALUMINIO DOBLE ROSCA 1'40|09|PROD. Y ACCESORIOS PARA LIMPIEZA|-6037.000|1.120000000000000|-6761.440000000001|0|0|1
TOP_VALOR_STOCK_NEGATIVO|CHEMIE|1|ALMACEN PRINCIPAL|33063800|HIDROBRILL - SECANTE ABRILLANTADOR|03|PROD. ESPECIALES INDUST. ALIMENTARIA|-3945.000|1.620000000000000|-6390.900000000001|0|0|1
TOP_VALOR_STOCK_NEGATIVO|CHEMIE|1|ALMACEN PRINCIPAL|91064400|FREGONA ALGODON BLANCA EXTRA R-109|09|PROD. Y ACCESORIOS PARA LIMPIEZA|-9196.000|0.6470000000000000|-5949.812000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|CHEMIE|1|ALMACEN PRINCIPAL|32003801|TR-20 / ADITIVO DESINCRUSTANTE AGUA LAVADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|-4590.000|1.120000000000000|-5140.800000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|CHEMIE|1|ALMACEN PRINCIPAL|81003218|PACK HIGIENICO INDUSTRIAL 350 C/18 ROLLOS|08|CELULOSA-LINEA BLANCA|-499.000|9.800000000000001|-4890.200000000001|0|0|1
TOP_VALOR_STOCK_NEGATIVO|CHEMIE|1|ALMACEN PRINCIPAL|91104400|PALO METALICO DOBLE ROSCA 1'40|09|PROD. Y ACCESORIOS PARA LIMPIEZA|-7946.000|0.5300000000000000|-4211.380000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|CHEMIE|1|ALMACEN PRINCIPAL|11033800|ZOSY D/DESENGRASANTE INDUST.CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|-2966.000|1.390000000000000|-4122.740000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|CHEMIE|1|ALMACEN PRINCIPAL|91204001|BAYETA ECOLOGICA MICROFIBRA PACK 12 UD.|09|PROD. Y ACCESORIOS PARA LIMPIEZA|-1287.000|3.037000000000000|-3908.619000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|CHEMIE|1|ALMACEN PRINCIPAL|999999|VARIOS-ARTICULO DE PASO|||-1909.000|1.890000000000000|-3608.010000000000|1|1|1
