EMPRESA|LOTE|CODIGO_LOTE|CODIGO_ALMACEN|ALMACEN|REFE|REFERENCIA1|REFERENCIA2|REFERENCIA3|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|FECHA_ENVASADO|FECHA_CADUCIDAD|DIAS_HASTA_CADUCIDAD|CANTIDAD|CANTIDAD2|FLAG_SIN_CADUCIDAD|FLAG_CADUCADO|FLAG_CADUCA_30D|FLAG_CADUCA_90D|FLAG_CADUCA_180D|FLAG_CANTIDAD_NEGATIVA|FLAG_CANTIDAD_CERO|FLAG_REFERENCIA_GENERICA|FLAG_SIN_FAMILIA
ECOCLEAN|800735||1|ALMACEN PRINCIPAL|33003800,,|33003800|||DEGRAS BAC-DESENGRASANTE HIGIENIZANTE|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2011-02-22|2012-02-22|-5208|510.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|110142||1|ALMACEN PRINCIPAL|33063800,,|33063800|||HIDROBRILL - SECANTE ABRILLANTADOR|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2011-02-28|2012-02-28|-5202|30.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|050310/05||1|ALMACEN PRINCIPAL|13001700,,|13001700|||VITSOL PINO-LIMPIADOR INDUST.CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2010-03-05|2012-03-05|-5196|30.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|090311||1|ALMACEN PRINCIPAL|13001700,,|13001700|||VITSOL PINO-LIMPIADOR INDUST.CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2011-03-09|2012-03-09|-5192|60.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|090311/05||1|ALMACEN PRINCIPAL|13001700,,|13001700|||VITSOL PINO-LIMPIADOR INDUST.CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2011-03-09|2012-03-09|-5192|160.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|01T224/60||1|ALMACEN PRINCIPAL|12003800,,|12003800|||CHEMGRAS EC-DESENGRASANTE MAQ.AUT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2011-03-10|2012-03-10|-5191|60.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|01t224||1|ALMACEN PRINCIPAL|33003800,,|33003800|||DEGRAS BAC-DESENGRASANTE HIGIENIZANTE|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2011-03-10|2012-03-10|-5191|60.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|031109||1|ALMACEN PRINCIPAL|21003800,,|21003800|||DERGEL SO - GEL DE MANOS SIN RESIDUO|02|JABONES Y PASTA LAVAMANOS|2011-03-11|2012-03-11|-5190|40.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|031110||1|ALMACEN PRINCIPAL|11033800,,|11033800|||ZOSY D/DESENGRASANTE INDUST.CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2011-03-17|2012-03-17|-5184|90.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|000070||1|ALMACEN PRINCIPAL|12003800,,|12003800|||CHEMGRAS EC-DESENGRASANTE MAQ.AUT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2011-03-17|2012-03-17|-5184|120.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|800742||1|ALMACEN PRINCIPAL|21013800,,|21013800|||DERGEL NB-GEL DE MANOS NACARADO|02|JABONES Y PASTA LAVAMANOS|2011-03-17|2012-03-17|-5184|60.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|800699||1|ALMACEN PRINCIPAL|21023800,,|21023800|||DERGEL CMB-GEL CREMA PARA MANOS|02|JABONES Y PASTA LAVAMANOS|2011-03-17|2012-03-17|-5184|20.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|031108||1|ALMACEN PRINCIPAL|32023800,,|32023800|||IBERFARM-L / ACEITE LIGERO ATOXICO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2011-03-17|2012-03-17|-5184|60.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|031126||1|ALMACEN PRINCIPAL|12013800,,|12013800|||BRINET MG - DETERGENTE FREGADORA|01|DESENGRASANTES Y LIMPIADORES GENERALES|2011-03-29|2012-03-29|-5172|80.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|112813||1|ALMACEN PRINCIPAL|13043800,,|13043800|||BRINET BQ - LIMPIADOR BIOALCOHOL|01|DESENGRASANTES Y LIMPIADORES GENERALES|2011-03-29|2012-03-29|-5172|80.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|110351||1|ALMACEN PRINCIPAL|15003800,,|15003800|||DETERMATIC 50 PLUS-LAVAVAJILLAS AUT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2011-03-29|2012-03-29|-5172|24.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|031125||1|ALMACEN PRINCIPAL|15033800,,|15033800|||DETERLAV S - LAVAVAJ. MANUAL CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2011-03-29|2012-03-29|-5172|120.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|031127||1|ALMACEN PRINCIPAL|33003800,,|33003800|||DEGRAS BAC-DESENGRASANTE HIGIENIZANTE|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2011-03-29|2012-03-29|-5172|100.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|110410||1|ALMACEN PRINCIPAL|32063800,,|32063800|||CHEMFOAM - ANTIESPUMANTE CONCENTRADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2011-04-04|2012-04-04|-5166|160.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|110359/30||1|ALMACEN PRINCIPAL|11033800,,|11033800|||ZOSY D/DESENGRASANTE INDUST.CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2011-04-07|2012-04-07|-5163|60.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|110508||1|ALMACEN PRINCIPAL|32043800,,|32043800|||TR-200 / HIGIENIZANTE PARA SUPERFICIES|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2011-04-18|2012-04-18|-5152|240.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|110190||1|ALMACEN PRINCIPAL|11083800,,|11083800|||CHEMGRAS AS - DESENGRASANTE USO GENERAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|2011-04-19|2012-04-19|-5151|60.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|110513||1|ALMACEN PRINCIPAL|12013800,,|12013800|||BRINET MG - DETERGENTE FREGADORA|01|DESENGRASANTES Y LIMPIADORES GENERALES|2011-04-19|2012-04-19|-5151|360.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|110464||1|ALMACEN PRINCIPAL|33063800,,|33063800|||HIDROBRILL - SECANTE ABRILLANTADOR|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2011-04-19|2012-04-19|-5151|120.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|21628A||1|ALMACEN PRINCIPAL|31012105,,|31012105|||INSECTICIDA MULTISPRAY ENV.5|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2011-06-14|2012-06-14|-5095|5.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|461132034||1|ALMACEN PRINCIPAL|32043800,,|32043800|||TR-200 / HIGIENIZANTE PARA SUPERFICIES|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2011-11-14|2012-11-14|-4942|120.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|461132061||1|ALMACEN PRINCIPAL|32053801,,|32053801|||TR-300N / HIGIENIZANTE SUPERFICIES CONCENT.|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2011-11-17|2012-11-17|-4939|420.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|KX99085||1|ALMACEN PRINCIPAL|5005001,,|5005001|||FUNGICIDA FUMIGENO - DECCOFENATO 250|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2010-11-30|2012-11-30|-4926|17.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|111819||1|ALMACEN PRINCIPAL|32063800,,|32063800|||CHEMFOAM - ANTIESPUMANTE CONCENTRADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2011-12-19|2012-12-19|-4907|180.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|511232075||1|ALMACEN PRINCIPAL|32083800,,|32083800|||HALAMID 10 LIQUIDO - BACTERICIDA FUNGICIDA|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2011-12-21|2012-12-21|-4905|630.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|521232034||1|ALMACEN PRINCIPAL|32043800,,|32043800|||TR-200 / HIGIENIZANTE PARA SUPERFICIES|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2011-12-27|2012-12-27|-4899|330.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|L425331||1|ALMACEN PRINCIPAL|12012400,,|12012400|||CHEMGRAS MG - DETERGENTE MAQ. AUT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2011-12-28|2012-12-28|-4898|240.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|011224/30||1|ALMACEN PRINCIPAL|32023800,,|32023800|||IBERFARM-L / ACEITE LIGERO ATOXICO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2012-01-24|2013-01-24|-4871|230.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|111683/30||1|ALMACEN PRINCIPAL|32053801,,|32053801|||TR-300N / HIGIENIZANTE SUPERFICIES CONCENT.|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2012-01-24|2013-01-24|-4871|180.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|070232075||1|ALMACEN PRINCIPAL|32083800,,|32083800|||HALAMID 10 LIQUIDO - BACTERICIDA FUNGICIDA|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2012-02-16|2013-02-16|-4848|90.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|1004090501||1|ALMACEN PRINCIPAL|33029700,,|33029700|||BIDALBEN VP - LIMP. HIGIENIZANTE SUPERFECIES|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2012-02-17|2013-02-17|-4847|29.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|080232075||1|ALMACEN PRINCIPAL|32083800,,|32083800|||HALAMID 10 LIQUIDO - BACTERICIDA FUNGICIDA|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2012-02-21|2013-02-21|-4843|720.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|200524021||1|ALMACEN PRINCIPAL|12003800,,|12003800|||CHEMGRAS EC-DESENGRASANTE MAQ.AUT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2012-05-17|2013-05-17|-4758|60.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|0024573A||1|ALMACEN PRINCIPAL|31002105,,|31002105|||INSECTICIDA COOPER 33 ENV. 5|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2012-05-17|2013-05-17|-4758|5.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|200532027||1|ALMACEN PRINCIPAL|33009700,,|33009700|||DESSOL 111 - DESENGRASANTE BACTERICIDA|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2012-05-17|2013-05-17|-4758|210.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|210526021||1|ALMACEN PRINCIPAL|11023800,,|11023800|||CHEMGRAS DS - DESENGRASANTE INDUSTRIAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|2012-05-29|2013-05-29|-4746|80.000|0.000|0|1|0|0|0|0|0|0|0
