ORIGEN|EMPRESA|CODIGO_CLIENTE|RAZON_SOCIAL|REFERENCIA1|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|PVP1_SIN_IVA|PRECIO_ESPECIAL|COSTE_MEDIO|MARGEN_PCT|REBAJA_PCT_VS_PVP1|MOTIVO
PRECIOS_BASE|ALMERIENSE|||000000|FINAL CARRERA PIZZATO C/CUERDA S/REINICIO 1NC SLOW ACTION|14|FOTOCELULAS/FINAL CARRERA/ETC|53.8||26.9|50.0||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION DOBLE LENTE PNP|14|FOTOCELULAS/FINAL CARRERA/ETC|97.2||54.0|44.44444444444445||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION ESPEJO SICK 0,06-6 MTS. M18 PNP|14|FOTOCELULAS/FINAL CARRERA/ETC|123.2||68.454|44.43668831168831||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|DETECTOR INDUCTIVO M12 12/24V DC NPN NA 3 HILOS|14|FOTOCELULAS/FINAL CARRERA/ETC|42.35||23.52|44.46280991735537||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA XUB REFLEXTIVO 0/45 MTS. PNP M18|14|FOTOCELULAS/FINAL CARRERA/ETC|106.95||59.413|44.44787283777467||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000001|FINAL CARRERA/FOTOCELULAS VARIOS|14|FOTOCELULAS/FINAL CARRERA/ETC|0.0||13.37|0.0||SIN_PVP1
PRECIOS_BASE|ALMERIENSE|||999991|MATERIAL ELECTRICO|15|MATERIAL ELECTRICO|0.0||0.0|0.0||SIN_PVP1;SIN_COSTE_MEDIO;REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||999991|PULSADOR EMERGENCIA+CAJA+MECANISMO INTERIOR|15|MATERIAL ELECTRICO|46.4||21.08|54.56896551724139||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||999991|PEDAL PARO-MARCHA METALICO XPEM110|15|MATERIAL ELECTRICO|119.35||65.64|45.00209467951403||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||999991|TOTALIZADOR LCD GRIS H7EC 30HZ SIN TENSION|15|MATERIAL ELECTRICO|89.2||55.714|37.54035874439462||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||999992|ELECTRODOMESTICOS Y HIFI|15|MATERIAL ELECTRICO|0.0||311.49|0.0||SIN_PVP1
PRECIOS_BASE|ALMERIENSE|||CABLE0000|CABLE CONDUCTOR RV 1KV (VARIAS MEDIDAS)|15|MATERIAL ELECTRICO|0.0||0.0|0.0||SIN_PVP1;SIN_COSTE_MEDIO
PRECIOS_BASE|ALMERIENSE|||FLU25LED|TUBO LED 24W 150CM|15|MATERIAL ELECTRICO|12.6||30.65|-143.2539682539682||PVP1_MENOR_COSTE_MEDIO
PRECIOS_BASE|ALMERIENSE|||PANTLD2X20|PANTALLA ESTANCA C/2 TUBOS LED 120 CM 18W - 5000K|15|MATERIAL ELECTRICO|44.25||58.0|-31.07344632768362||PVP1_MENOR_COSTE_MEDIO
PRECIOS_BASE|ALMERIENSE|||PANTLD2X25|PANTALLA ESTANCA C/2 TUBOS LED 150 CM 25W|15|MATERIAL ELECTRICO|61.25||69.0|-12.6530612244898||PVP1_MENOR_COSTE_MEDIO
PRECIOS_BASE|ALMERIENSE|||RAEE|RESIDUOS APARATOS ELECTRICOS|15|MATERIAL ELECTRICO|0.0||0.3|0.0||SIN_PVP1
PRECIOS_BASE|ALMERIENSE|||TORV9999|TORNILLERIA VARIADA Y OTROS|16|TORNILLERIA|0.0||0.0|0.0||SIN_PVP1;SIN_COSTE_MEDIO
PRECIOS_BASE|ALMERIENSE|||999993|RUEDAS Y MATERIAL TRANSPALETAS|17|RUEDAS TRASPALETAS|0.0||0.624|0.0||SIN_PVP1
PRECIOS_BASE|ALMERIENSE|||79490000|MOTORES-REDUCTORES VARIOS|2|MOTORES/REDUCTORES/BOMBAS|0.0||4.8|0.0||SIN_PVP1
PRECIOS_BASE|ALMERIENSE|||794980496|VARIADOR FRECUENCIA VARIOS|2|MOTORES/REDUCTORES/BOMBAS|0.0||159.38|0.0||SIN_PVP1
PRECIOS_BASE|ALMERIENSE|||10600099|RODAMIENTOS VARIOS / SOPORTES|3|RODAMIENTOS/SOPORTES/CORREAS|0.0||13.13|0.0||SIN_PVP1
PRECIOS_BASE|ALMERIENSE|||16411855|SOPORTE RODAMIENTO UCP 205 ATM|3|RODAMIENTOS/SOPORTES/CORREAS|15.15||0.0|100.0||SIN_COSTE_MEDIO
PRECIOS_BASE|ALMERIENSE|||62309999|CORREAS DE TRANSMISION VARIAS|3|RODAMIENTOS/SOPORTES/CORREAS|0.0||0.0|0.0||SIN_PVP1;SIN_COSTE_MEDIO
PRECIOS_BASE|ALMERIENSE|||000000|HERRAMIENTAS VARIAS|4|MAQUINARIA/HERRAMIENTAS/ACCESORIOS|0.0||18.9|0.0||SIN_PVP1;REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||0601194790|TALADRO DE PERCUSION GSB|4|MAQUINARIA/HERRAMIENTAS/ACCESORIOS|255.36||343.4|-34.4768170426065||PVP1_MENOR_COSTE_MEDIO
PRECIOS_BASE|ALMERIENSE|||08SD0000|VENTILADOR INDUSTRIAL Y TURBINAS VARIOS|5|COMPLEMENTOS HORNOS/VENTILADORES|0.0||112.52|0.0||SIN_PVP1
PRECIOS_BASE|ALMERIENSE|||090199|REPUESTOS HORNOS VARIOS|5|COMPLEMENTOS HORNOS/VENTILADORES|0.0||192.2|0.0||SIN_PVP1
PRECIOS_BASE|ALMERIENSE|||69000020|ESPATULA ACERO INOXIDABLE 60-70mm|5|COMPLEMENTOS HORNOS/VENTILADORES|4.3||0.0|100.0||SIN_COSTE_MEDIO
PRECIOS_BASE|ALMERIENSE|||999994|PIÑONES VARIOS|6|CADENAS / PIÑONES|0.0||8.29|0.0||SIN_PVP1
PRECIOS_BASE|ALMERIENSE|||9CADENA00|CADENAS VARIAS Y ESPECIALES|6|CADENAS / PIÑONES|0.9||17.667|-1863.0||PVP1_MENOR_COSTE_MEDIO
PRECIOS_BASE|ALMERIENSE|||25TAYG-VS|GAVETA APILABLE Y CAJAS VARIOS|7|COMPLEMENTOS VARIOS|0.0||3.64|0.0||SIN_PVP1
PRECIOS_BASE|ALMERIENSE|||433CILVA|CILINDROS HIDRAULICOS VARIOS|7|COMPLEMENTOS VARIOS|0.0||197.17|0.0||SIN_PVP1
PRECIOS_BASE|ALMERIENSE|||711|CARTEL DE SEÑALIZACION|7|COMPLEMENTOS VARIOS|0.0||6.136364|0.0||SIN_PVP1
