ORIGEN|CRITERIO|EMPRESA|CODIGO_ALMACEN|ALMACEN|LOTE|CODIGO_LOTE|REFE|REFERENCIA1|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|FECHA_ENVASADO|FECHA_CADUCIDAD|DIAS_HASTA_CADUCIDAD|CANTIDAD|CANTIDAD2|FLAG_SIN_CADUCIDAD|FLAG_CADUCADO|FLAG_CADUCA_30D|FLAG_CADUCA_90D|FLAG_CADUCA_180D|FLAG_CANTIDAD_NEGATIVA|FLAG_CANTIDAD_CERO|FLAG_REFERENCIA_GENERICA|FLAG_SIN_FAMILIA
ETIQUETASLOTES|CADUCADO_CON_STOCK|CHEMIE|1|ALMACEN PRINCIPAL|012921/05||11073800,,|11073800|CHEMGRAS MXD - DESENGRASANTE USO GENERAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|2009-01-21|2010-01-21|-5970|3430.000||0|1|0|0|0|0|0|0|0
LOTES|CADUCADO_CON_CANTIDAD|CHEMIE|1|ALMACEN PRINCIPAL|012921/05||11073800,,|11073800|CHEMGRAS MXD - DESENGRASANTE USO GENERAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|2009-01-21|2010-01-21|-5970|40.000|0.000|0|1|0|0|0|0|0|0|0
LOTES|CADUCADO_CON_CANTIDAD|CHEMIE|1|ALMACEN PRINCIPAL|012929||13043800,,|13043800|BRINET BQ - LIMPIADOR BIOALCOHOL CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2009-01-29|2010-01-29|-5962|65.000|-1.000|0|1|0|0|0|0|0|0|0
LOTES|CADUCADO_CON_CANTIDAD|CHEMIE|1|ALMACEN PRINCIPAL|020209||01021700,,|01021700|LUBE FOOD-ACEITE C/TEFLON IND.ALIMENT.|10|ACEITES Y GRASAS|2009-02-02|2010-02-02|-5958|20.000|0.000|0|1|0|0|0|0|0|0|0
LOTES|CADUCADO_CON_CANTIDAD|CHEMIE|1|ALMACEN PRINCIPAL|030209/05||32021700,,|32021700|SILI 69 - SILICONA ABRILLANTADOR|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2009-02-03|2010-02-03|-5957|10.000|0.000|0|1|0|0|0|0|0|0|0
LOTES|CADUCADO_CON_CANTIDAD|CHEMIE|1|ALMACEN PRINCIPAL|1208-20||35005025,,|35005025|FUNGICIDA FUMIGENO 25 / USO IND. ALIMENTARIA|03|PROD. ESPECIALES INDUST. ALIMENTARIA||2010-02-12|-5948|9.000|0.000|0|1|0|0|0|0|0|0|0
LOTES|CADUCADO_CON_CANTIDAD|CHEMIE|1|ALMACEN PRINCIPAL|0808-19||35005000,,|35005000|FUNGICIDA FUMIGENO 500 / USO IND.ALIMENTARIA|03|PROD. ESPECIALES INDUST. ALIMENTARIA||2010-02-12|-5948|5.000|0.000|0|1|0|0|0|0|0|0|0
LOTES|CADUCADO_CON_CANTIDAD|CHEMIE|1|ALMACEN PRINCIPAL|022919||32053800,,|32053800|TR-300 / HIGIENIZANTE SUPERFICIES CONCENT.|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2009-02-19|2010-02-19|-5941|30.000|0.000|0|1|0|0|0|0|0|0|0
LOTES|CADUCADO_CON_CANTIDAD|CHEMIE|1|ALMACEN PRINCIPAL|022925/05||13043800,,|13043800|BRINET BQ - LIMPIADOR BIOALCOHOL CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2009-02-25|2010-02-25|-5935|20.000|0.000|0|1|0|0|0|0|0|0|0
LOTES|CADUCADO_CON_CANTIDAD|CHEMIE|1|ALMACEN PRINCIPAL|022925||21013800,,|21013800|DERGEL NB-GEL DE MANOS NACARADO|02|JABONES Y PASTA LAVAMANOS|2009-02-25|2010-02-25|-5935|20.000|0.000|0|1|0|0|0|0|0|0|0
