EMPRESA|CODIGO_CLIENTE|RAZON_SOCIAL|REFE|REFERENCIA1|REFERENCIA2|REFERENCIA3|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|HASTA_CANTIDAD_A|DESCUENTO_A|DESCUENTO2_A|PRECIO_SIN_IVA_A|PRECIO_CON_IVA_A|HASTA_CANTIDAD_B|DESCUENTO_B|DESCUENTO2_B|PRECIO_SIN_IVA_B|PRECIO_CON_IVA_B|HASTA_CANTIDAD_C|DESCUENTO_C|DESCUENTO2_C|PRECIO_SIN_IVA_C|PRECIO_CON_IVA_C|HASTA_CANTIDAD_D|DESCUENTO_D|DESCUENTO2_D|PRECIO_SIN_IVA_D|PRECIO_CON_IVA_D|PVP1_BASE|COSTE_MEDIO|FLAG_PRECIO_ESPECIAL|FLAG_DTO_ESPECIAL|FLAG_CLIENTE_SIN_MAESTRO|FLAG_ARTICULO_SIN_MAESTRO
CHEMIE|237|VEGACAÑADA, S.A.|21003800,,|21003800|||DERGEL SO-GEL DE MANOS S/O|02|JABONES Y PASTA LAVAMANOS|99999999.0|0.0|0.0|1.8|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.7|0.852535|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|21013800,,|21013800|||DERGEL NB-GEL DE MANOS NACARADO|02|JABONES Y PASTA LAVAMANOS|99999999.0|0.0|0.0|2.4|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|0.898559|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|21023800,,|21023800|||DERGEL CMB-GEL CREMA PARA MANOS|02|JABONES Y PASTA LAVAMANOS|99999999.0|0.0|0.0|2.1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.6|0.839286|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|22001700,,|22001700|||GELPAST 1GT - PASTA LAVAMANOS C/ARENILLA|02|JABONES Y PASTA LAVAMANOS|99999999.0|0.0|0.0|4.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.7|1.9|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|22003800,,|22003800|||GELPAST BPP-PASTA LAVAMANOS C/ARENILLA|02|JABONES Y PASTA LAVAMANOS|99999999.0|0.0|0.0|3.6|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.5|2.32|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|31002100,,|31002100|||INSECTICIDA COOPER 33 S|03|PROD. ESPECIALES INDUST. ALIMENTARIA|99999999.0|0.0|0.0|9.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|15.91|5.25|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|31022100,,|31022100|||INSECTICIDA COOPER 55|03|PROD. ESPECIALES INDUST. ALIMENTARIA|99999999.0|0.0|0.0|7.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.7|0.87|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|32003800,,|32003800|||TR-20 / ADITIVO DESINCRUSTANTE AGUA LAVADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|99999999.0|0.0|0.0|2.4|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.8|0.94|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|32003801,,|32003801|||TR-20 / ADITIVO DESINCRUSTANTE AGUA LAVADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|99999999.0|0.0|0.0|2.1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.8|1.12|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|32013800,,|32013800|||TR-100 / LIMPIADOR DESINCRUSTANTE CONCENT.|03|PROD. ESPECIALES INDUST. ALIMENTARIA|99999999.0|0.0|0.0|5.7|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|6.3|1.25|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|32023800,,|32023800|||IBERFARM-L / ACEITE LIGERO ATOXICO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|99999999.0|0.0|0.0|5.7|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|9.1|2.194|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|32031700,,|32031700|||SILI 70 - ACEITE SILICONA DESLIZANTE|03|PROD. ESPECIALES INDUST. ALIMENTARIA|99999999.0|0.0|0.0|12.62|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|22.0|8.14|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|32043800,,|32043800|||TR-200 / HIGIENIZANTE PARA SUPERFICIES|03|PROD. ESPECIALES INDUST. ALIMENTARIA|99999999.0|0.0|0.0|3.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.5|1.4|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|33003800,,|33003800|||DEGRAS BAC - DESENGRASANTE INDUSTRIAL|03|PROD. ESPECIALES INDUST. ALIMENTARIA|99999999.0|0.0|0.0|4.2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.1|1.958|1|0|0|0
