EMPRESA|CODIGO_ALMACEN|ALMACEN|REFE|REFERENCIA1|REFERENCIA2|REFERENCIA3|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|STOCK_ACTUAL|ULTIMO_PRECIO_COMPRA|PRECIO_MEDIO_COMPRA|PRECIO_COSTO|PRECIO_ENTRADA|PVP1_SIN_IVA|PVP2_SIN_IVA|PVP3_SIN_IVA|PVP4_SIN_IVA|PVP5_SIN_IVA|PVP1_CON_IVA|PVP2_CON_IVA|PVP3_CON_IVA|PVP4_CON_IVA|PVP5_CON_IVA|BENEFICIO1|BENEFICIO2|BENEFICIO3|BENEFICIO4|BENEFICIO5|DESCUENTO1|DESCUENTO2|DESCUENTO3|DESCUENTO4|DESCUENTO5|DESCUENTO6|MARGEN_EUR_PVP1_COSTE_MEDIO|MARGEN_PCT_PVP1_COSTE_MEDIO|MARGEN_EUR_PVP1_ULT_COMPRA|MARGEN_PCT_PVP1_ULT_COMPRA|FLAG_SIN_PVP1|FLAG_SIN_COSTE_MEDIO|FLAG_PVP_MENOR_COSTE_MEDIO|FLAG_REFERENCIA_GENERICA|FLAG_SIN_FAMILIA|DESUSO|CONTROL_STOCK
CHEMIE|1|ALMACEN PRINCIPAL|13043801,,|13043801|||BRINET VARIOS - LIMPIADOR GENERAL PERFUMADO|01|DESENGRASANTES Y LIMPIADORES GENERALES|20.0|0.6|0.6|0.0|0.0|2.1|1.9|1.7|1.5|0.0|2.54|2.3|2.06|1.82|0.0|250.0|216.67|183.33|150.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.5|71.42857142857143|1.5|71.42857142857143|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CHEMIE|1|ALMACEN PRINCIPAL|13053800,,|13053800|||BRINET AMD - LIMPIADOR AMONIACAL CONCENTRADO|01|DESENGRASANTES Y LIMPIADORES GENERALES|0.0|0.72|0.72|0.0|0.0|2.3|2.0|1.7|1.4|0.0|2.78|2.42|2.06|1.69|0.0|219.44|177.78|136.11|94.44|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.58|68.69565217391305|1.58|68.69565217391305|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
CHEMIE|1|ALMACEN PRINCIPAL|13063800,,|13063800|||BRINET AML - LIMPIADOR AMONIACAL PINO|01|DESENGRASANTES Y LIMPIADORES GENERALES|-3520.0|0.75|0.75|0.0|0.0|2.2|2.0|1.8|1.6|0.0|2.66|2.42|2.18|1.94|0.0|193.33|166.67|140.0|113.33|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.45|65.90909090909092|1.45|65.90909090909092|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CHEMIE|1|ALMACEN PRINCIPAL|13063801,,|13063801|||BRINET SO - LIMPIADOR AMONIACAL S/PERFUME|01|DESENGRASANTES Y LIMPIADORES GENERALES|0.0|0.49|0.49|0.0|0.0|2.0|1.7|1.4|1.1|0.0|2.42|2.06|1.69|1.33|0.0|308.16|246.94|185.71|124.49|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.51|75.5|1.51|75.5|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CHEMIE|1|ALMACEN PRINCIPAL|13073800,,|13073800|||BRINET CL - DETERGENTE CLORADO|01|DESENGRASANTES Y LIMPIADORES GENERALES|0.0|0.653|0.653|0.0|0.0|2.3|2.0|1.7|1.4|0.0|2.78|2.42|2.06|1.69|0.0|252.22|206.28|160.34|114.4|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.647|71.60869565217392|1.647|71.60869565217392|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
CHEMIE|1|ALMACEN PRINCIPAL|13083800,,|13083800|||CHEMWAX LC - EMULSION CERA PERFUMADA|01|DESENGRASANTES Y LIMPIADORES GENERALES|20.0|1.53|1.53|0.0|0.0|4.2|3.9|3.6|3.3|0.0|5.08|4.72|4.36|3.99|0.0|174.51|154.9|135.29|115.69|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.67|63.57142857142857|2.67|63.57142857142857|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CHEMIE|1|ALMACEN PRINCIPAL|13093800,,|13093800|||CHEMWAX CM - CERA RESTAURADORA SUELOS|01|DESENGRASANTES Y LIMPIADORES GENERALES|0.0|1.82|1.77|0.0|0.0|4.8|4.5|4.2|3.9|0.0|5.81|5.45|5.08|4.72|0.0|163.74|147.25|130.77|114.29|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.03|63.125|2.98|62.08333333333332|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CHEMIE|1|ALMACEN PRINCIPAL|14001700,,|14001700|||GLASWIPE - LIMPIACRISTALES PERFUMADO|01|DESENGRASANTES Y LIMPIADORES GENERALES|1280.0|1.48|1.426557|0.0|0.0|3.3|3.0|2.7|2.4|0.0|3.99|3.63|3.27|2.9|0.0|122.97|102.7|82.43|62.16|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.873443|56.77099999999999|1.82|55.15151515151515|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CHEMIE|1|ALMACEN PRINCIPAL|14003800,,|14003800|||CHEMGLAS CR - LIMPIACRISTALES|01|DESENGRASANTES Y LIMPIADORES GENERALES|-510.0|1.42|1.42|0.0|0.0|3.4|3.1|2.8|2.5|0.0|4.11|3.75|3.39|3.03|0.0|139.44|118.31|97.18|76.06|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.98|58.23529411764707|1.98|58.23529411764707|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CHEMIE|1|ALMACEN PRINCIPAL|14011700,,|14011700|||A-5 / LIMPIADOR ESP. ACERO INOX.|01|DESENGRASANTES Y LIMPIADORES GENERALES|99.0|2.19|2.105739|0.0|0.0|5.3|4.8|4.4|3.9|0.0|6.41|5.81|5.32|4.72|0.0|142.01|119.18|100.91|78.08|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.194261|60.26907547169812|3.11|58.67924528301887|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
