EMPRESA|EJERCICIO|FECHA|CUENTA|TITULO_CUENTA|CONCEPTO|IMPORTE|DEBE_HABER|DEBE|HABER|TIPO_MOVIMIENTO|SALDO_SIGNO_GESTION|FLAG_ACTIVO_20_21|FLAG_AMORT_ACUMULADA_28|FLAG_GASTO_AMORT_681_682|FLAG_PERDIDA_INMOV_671|FLAG_BENEFICIO_INMOV_771|FLAG_APERTURA|FLAG_CIERRE|FLAG_REGULARIZACION|FLAG_VEHICULO
ALMERIENSE|2024|2024-01-01|2160000000||Asiento de Apertura|4675.87|D|4675.87|0.00|INMOVILIZADO_MATERIAL_21|4675.87|1|0|0|0|0|1|0|0|0
ALMERIENSE|2024|2024-12-31|2160000000||Asiento de Cierre|4675.87|H|0.00|4675.87|INMOVILIZADO_MATERIAL_21|-4675.87|1|0|0|0|0|0|1|0|0
ALMERIENSE|2024|2024-01-01|2160000001||Asiento de Apertura|6490.02|D|6490.02|0.00|INMOVILIZADO_MATERIAL_21|6490.02|1|0|0|0|0|1|0|0|0
ALMERIENSE|2024|2024-12-31|2160000001||Asiento de Cierre|6490.02|H|0.00|6490.02|INMOVILIZADO_MATERIAL_21|-6490.02|1|0|0|0|0|0|1|0|0
ALMERIENSE|2024|2024-01-01|2160000002||Asiento de Apertura|476.16|D|476.16|0.00|INMOVILIZADO_MATERIAL_21|476.16|1|0|0|0|0|1|0|0|0
ALMERIENSE|2024|2024-12-31|2160000002||Asiento de Cierre|476.16|H|0.00|476.16|INMOVILIZADO_MATERIAL_21|-476.16|1|0|0|0|0|0|1|0|0
ALMERIENSE|2024|2024-01-01|2160000003||Asiento de Apertura|16194.82|D|16194.82|0.00|INMOVILIZADO_MATERIAL_21|16194.82|1|0|0|0|0|1|0|0|0
ALMERIENSE|2024|2024-12-31|2160000003||Asiento de Cierre|16194.82|H|0.00|16194.82|INMOVILIZADO_MATERIAL_21|-16194.82|1|0|0|0|0|0|1|0|0
ALMERIENSE|2024|2024-01-01|2160000004||Asiento de Apertura|9363.81|D|9363.81|0.00|INMOVILIZADO_MATERIAL_21|9363.81|1|0|0|0|0|1|0|0|0
ALMERIENSE|2024|2024-12-31|2160000004||Asiento de Cierre|9363.81|H|0.00|9363.81|INMOVILIZADO_MATERIAL_21|-9363.81|1|0|0|0|0|0|1|0|0
ALMERIENSE|2024|2024-01-01|2170000000||Asiento de Apertura|5548.42|D|5548.42|0.00|INMOVILIZADO_MATERIAL_21|5548.42|1|0|0|0|0|1|0|0|0
ALMERIENSE|2024|2024-12-31|2170000000||Asiento de Cierre|5548.42|H|0.00|5548.42|INMOVILIZADO_MATERIAL_21|-5548.42|1|0|0|0|0|0|1|0|0
ALMERIENSE|2024|2024-01-01|2170000001|VEHICULO LEASING|Asiento de Apertura|542.96|D|542.96|0.00|INMOVILIZADO_MATERIAL_21|542.96|1|0|0|0|0|1|0|0|0
ALMERIENSE|2024|2024-12-31|2170000001|VEHICULO LEASING|Asiento de Cierre|542.96|H|0.00|542.96|INMOVILIZADO_MATERIAL_21|-542.96|1|0|0|0|0|0|1|0|0
ALMERIENSE|2024|2024-01-01|2190000000||Asiento de Apertura|602.48|D|602.48|0.00|INMOVILIZADO_MATERIAL_21|602.48|1|0|0|0|0|1|0|0|0
ALMERIENSE|2024|2024-12-31|2190000000||Asiento de Cierre|602.48|H|0.00|602.48|INMOVILIZADO_MATERIAL_21|-602.48|1|0|0|0|0|0|1|0|0
ALMERIENSE|2024|2024-06-07|2190000001||Fra. Nº 1-6992,MEDIA MARKT SATURN S.A.U.|453.72|D|453.72|0.00|INMOVILIZADO_MATERIAL_21|453.72|1|0|0|0|0|0|0|0|0
ALMERIENSE|2024|2024-12-31|2190000001||Asiento de Cierre|453.72|H|0.00|453.72|INMOVILIZADO_MATERIAL_21|-453.72|1|0|0|0|0|0|1|0|0
ALMERIENSE|2024|2024-12-31|2806000000||Asiento de Cierre|352.87|D|352.87|0.00|AMORTIZACION_ACUMULADA_28|-352.87|0|1|0|0|0|0|1|0|0
ALMERIENSE|2024|2024-12-31|2806000000||Amortización (RED SOCIAL KIT DIGITAL 24)|352.87|H|0.00|352.87|AMORTIZACION_ACUMULADA_28|352.87|0|1|0|0|0|0|0|0|0
ALMERIENSE|2024|2024-01-01|2811000001||Asiento de Apertura|30172.95|H|0.00|30172.95|AMORTIZACION_ACUMULADA_28|30172.95|0|1|0|0|0|1|0|0|0
ALMERIENSE|2024|2024-12-31|2811000001||Asiento de Cierre|33142.38|D|33142.38|0.00|AMORTIZACION_ACUMULADA_28|-33142.38|0|1|0|0|0|0|1|0|0
ALMERIENSE|2024|2024-12-31|2811000001||Amortización (NAVE SIERRA ALMIJARA)|2298.87|H|0.00|2298.87|AMORTIZACION_ACUMULADA_28|2298.87|0|1|0|0|0|0|0|0|0
ALMERIENSE|2024|2024-12-31|2811000001||Amortización (INSTALACION CONTRA INCEND|670.56|H|0.00|670.56|AMORTIZACION_ACUMULADA_28|670.56|0|1|0|0|0|0|0|0|0
ALMERIENSE|2024|2024-01-01|2815000000||Asiento de Apertura|826.84|H|0.00|826.84|AMORTIZACION_ACUMULADA_28|826.84|0|1|0|0|0|1|0|0|0
ALMERIENSE|2024|2024-12-31|2815000000||Asiento de Cierre|1195.98|D|1195.98|0.00|AMORTIZACION_ACUMULADA_28|-1195.98|0|1|0|0|0|0|1|0|0
ALMERIENSE|2024|2024-12-31|2815000000||Amortización (AIRE ACONDICIONADO)|206.71|H|0.00|206.71|AMORTIZACION_ACUMULADA_28|206.71|0|1|0|0|0|0|0|0|0
