EMPRESA|REFE|REFERENCIA1|REFERENCIA2|REFERENCIA3|DESCRIPCION|CODIGO_IVA|CODIGO_FAMILIA|FAMILIA|CODIGO_SUBFAMILIA|FECHA_ALTA|DESUSO|CONTROL_STOCK|RECALCULAR_PM|BASE|UNIDADES_PALET|KILOS_UNIDAD
ALMERIENSE|000000,E3JMR4M4TG,|000000|E3JMR4M4TG||FOTOCELULA REFLEXION ESPEJO TEMPORIZADA 4MT|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2010-11-19|F|T|T||0.000|0.000
ALMERIENSE|000000,PMP12RG1798,|000000|PMP12RG1798||FOTOCELULA REFLEXION POLARIZADA 12M. + ESPEJO|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2005-11-14|F|T|T||0.000|0.000
ALMERIENSE|000000,PA18ALR30TOSA,|000000|PA18ALR30TOSA||FOTOCELULA REFLEXION SOBRE ESPEJO|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2009-12-29|F|T|T||0.000|0.000
ALMERIENSE|000000,E3FARP21OMI,|000000|E3FARP21OMI||FOTOCELULA REFLEXION SOBRE ESPEJO 0,1-3 MTS. PNP|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2009-12-29|T|T|T||0.000|0.000
ALMERIENSE|000000,E3F1RP21OMI,|000000|E3F1RP21OMI||FOTOCELULA REFLEXION SOBRE ESPEJO 0,1-3 MTS. PNP|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2009-12-29|F|T|T||0.000|0.000
ALMERIENSE|000000,E3FARP21F2OMS,|000000|E3FARP21F2OMS||FOTOCELULA REFLEXION SOBRE ESPEJO 0,1-4 M PNP M12|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2009-12-29|F|T|T||0.000|0.000
ALMERIENSE|000000,E3GMR19G,|000000|E3GMR19G||FOTOCELULA REFLEXION SOBRE ESPEJO 10 MTS. OMRON|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2009-12-29|F|T|T||0.000|0.000
ALMERIENSE|000000,ER1830PPAS,|000000|ER1830PPAS||FOTOCELULA SOBRE ESPEJO 5MTS. ER1830|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2003-06-04|F|T|T||0.000|0.000
ALMERIENSE|000000,XUB1BPBNL5,|000000|XUB1BPBNL5||FOTOCELULA XUB REFLEXTIVO 0/45 MTS. PNP M18|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2016-11-10|F|T|T||0.000|0.000
ALMERIENSE|000000,XUB9BPANL5,|000000|XUB9BPANL5||FOTOCELULA XUB9 REFLEX POLARIZADO 5 MTS. CABLE|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2016-11-10|F|T|T||0.000|0.000
ALMERIENSE|000000,,|000000|||HERRAMIENTAS VARIAS|G|4|MAQUINARIA/HERRAMIENTAS/ACCESORIOS||2002-10-30|F|T|T||0.000|0.000
ALMERIENSE|000000,ZCKD06,|000000|ZCKD06||INTERRUPTOR POSICION C/VARILLA FLEXIBLE|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2003-05-16|F|T|T||0.000|0.000
ALMERIENSE|000000,RAP48A5,|000000|RAP48A5||RELE ESTATICO RAP48A5|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2003-11-05|F|T|T||0.000|0.000
ALMERIENSE|000000,IA18DSF05PO,|000000|IA18DSF05PO||SENSOR PROX. INDUCTIVO 5 MTS. IA18DSF|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2010-01-19|F|T|T||0.000|0.000
ALMERIENSE|000000,XUB1BPANL5,|000000|XUB1BPANL5||SENSOR PROX. INDUCTIVO 5 MTS. XUB1BPANL5 C/3 HILOS TELEMECANICA|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2010-01-19|F|T|T||0.000|0.000
ALMERIENSE|000000,IA18DSN08P,|000000|IA18DSN08P||SENSOR PROX. INDUCTIVO 5MTS. IA18DSN|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2003-06-04|F|T|T||0.000|0.000
ALMERIENSE|000000,IS18G2S2,|000000|IS18G2S2||SENSOR PROX. INDUCTIVO 5MTS. IA18DSN|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2003-06-04|F|T|T||0.000|0.000
ALMERIENSE|000000,S15PA5B01PK,|000000|S15PA5B01PK||SENSOR PROX. INDUCTIVO 5MTS. IA18DSN|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2003-06-04|F|T|T||0.000|0.000
ALMERIENSE|000000,IS18G2-S2,|000000|IS18G2-S2||SENSOR PROX. INDUCTIVO M18 PNP 3 HILOS|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2003-06-04|F|T|T||0.000|0.000
ALMERIENSE|000001,XUZC80,|000001|XUZC80||ESPEJO REFLECTANTE CIRCULAR|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2009-07-07|F|T|T||0.000|0.000
ALMERIENSE|000001,,|000001|||FINAL CARRERA/FOTOCELULAS VARIOS|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2005-04-20|F|T|T||0.000|0.000
ALMERIENSE|000001,XUB2APBNM12R,|000001|XUB2APBNM12R||FOTOCELULA DETECTOR BARRERA PNP CONECT. RECTO|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2016-03-29|F|T|T||0.000|0.000
ALMERIENSE|000001,XUB2AKSNM12T,|000001|XUB2AKSNM12T||FOTOCELULA EMISOR BARRERA M18 PNP CONECTOR|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2016-03-29|F|T|T||0.000|0.000
ALMERIENSE|000001,XUM9APCNM8,|000001|XUM9APCNM8||FOTOCELULA RECTANGULAR MINI XUM9A SALIDA PNP M8|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2016-03-29|F|T|T||0.000|0.000
ALMERIENSE|000565,,|000565|||"UNION CADENA 1/2"""|G|6|CADENAS / PIÑONES||2002-11-13|F|T|T||0.000|0.000
ALMERIENSE|000565HB,,|000565HB|||"UNION CADENA 1/2"" EJE HUECO"|G|6|CADENAS / PIÑONES||2002-11-13|F|T|T||0.000|0.000
ALMERIENSE|000566,,|000566|||UNION CADENA 5/8|G|6|CADENAS / PIÑONES||1999-07-22|F|T|T||0.000|0.000
ALMERIENSE|000567,,|000567|||"UNION CADENA 3/4"""|G|6|CADENAS / PIÑONES||2003-01-27|F|T|T||0.000|0.000
ALMERIENSE|000568,,|000568|||"UNION CADENA 1"""|G|6|CADENAS / PIÑONES||2003-01-27|F|T|T||0.000|0.000
ALMERIENSE|000569,,|000569|||UNION CADENA DOBLE 1/2|G|6|CADENAS / PIÑONES||2009-03-04|F|T|T||0.000|0.000
ALMERIENSE|000570,,|000570|||UNION CADENA DOBLE 5/8|G|6|CADENAS / PIÑONES||2009-03-04|F|T|T||0.000|0.000
ALMERIENSE|000571,,|000571|||UNION CADENA ACODADA 1/2 SIMPLE|G|6|CADENAS / PIÑONES||2010-05-25|F|T|T||0.000|0.000
ALMERIENSE|000572,,|000572|||UNION CADENA DOBLE 3/4|G|6|CADENAS / PIÑONES||2009-03-04|F|T|T||0.000|0.000
ALMERIENSE|000573,,|000573|||UNION CADENA ACODADA 5/8 SIMPLE|G|6|CADENAS / PIÑONES||2010-05-25|F|T|T||0.000|0.000
